OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude
1158,BAYSIDE PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.5848608,-73.82514356
1163,NAKKS MALLS,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.70829553,-73.74234764
1164,THOMAS J. CUITE PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.65423605,-73.97865638
1165,FEATHERBED TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.84642324,-73.92087843
1174,HORACE HARDING PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.73316797,-73.86032812
1187,THOMAS GREENE PLAYGROUND,PARKS,PARKS AND PLAZAS,BROOKLYN,40.68031719,-73.98535192
1189,DUNBAR PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.82301247,-73.90644327
1199,"HIAS, INC.",ACADEMIC AND SPECIAL LIBRARIES,LIBRARIES,MANHATTAN,40.74741384,-73.99282407
1202,WESTWOOD PARK,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,STATEN ISLAND,40.60641151,-74.14186022
1206,CAPTAIN TILLY PARK,PARKS,PARKS AND PLAZAS,QUEENS,40.71142886,-73.79823996
1215,DEROSA O'BOYLE TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.82255818,-73.81905879
1222,VICTORY GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.66657821,-73.88754596
1226,TRIBOROUGH BRIDGE PLAYGROUND C,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.77397758,-73.92223877
1229,SUNNYSIDE,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.74080386,-73.92166951
1232,KIPS BAY LIBRARY,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.74382853,-73.97993403
1240,PULASKI PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.80524231,-73.92456569
1241,VENDITTI SQUARE PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.69995088,-73.90941576
1245,HARLEM GROWN 127TH STREET LEARNING ANNEX,GARDENS,PARKS AND PLAZAS,MANHATTAN,40.80945721,-73.94604357
1250,BATH BEACH PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.60244652,-74.01110088
1255,BRIDGE PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.70076462,-73.98547019
1256,CORLEARS HOOK PARK,PARKS,PARKS AND PLAZAS,MANHATTAN,40.71173977,-73.97978755
1257,ST JOHN CANTIUS PARISH,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.6674664,-73.89400971
1265,TRIANGLE THREE SIXTEEN,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.6673271,-73.99503053
1276,REIFF PLAYGROUND,PARKS,PARKS AND PLAZAS,QUEENS,40.71884682,-73.90193519
1285,BANNEKER PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.69068207,-73.9487922
1295,LT. LIA PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,STATEN ISLAND,40.64356867,-74.07984294
1314,CLIFTON PL MEMORIAL PARK AND GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.68860194,-73.95464957
1321,AHEARN PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,MANHATTAN,40.71478207,-73.98351917
1322,NOLAN PARK,PARKS,PARKS AND PLAZAS,MANHATTAN,40.689823,-74.013991
1325,MIDDLEBURGH TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.74132213,-73.87505475
1329,FORT HILL PARK,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,STATEN ISLAND,40.6410907,-74.08171819
1355,ULMER PARK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.5926124,-73.9886502
1360,CHALLENGE PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.75662296,-73.72796351
1362,GIVANS CREEK WOODS,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,BRONX,40.88007439,-73.82984104
1364,FRANKLIN TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.82712421,-73.90731247
1367,PALMER INLET,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,BRONX,40.84366124,-73.81629912
1369,AGUILAR LIBRARY,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.79417964,-73.94346814
1372,MERRIAM PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.83963747,-73.92676861
1377,A BETTER COMMUNITY GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.67828823,-73.92830671
1381,FRESH MEADOWS PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.74071421,-73.78538032
1389,HUGUENOT PARK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,STATEN ISLAND,40.53405756,-74.19323522
1392,STEUBEN PLAYGROUND,PARKS,PARKS AND PLAZAS,BROOKLYN,40.69744492,-73.96345808
1395,FOREST MALL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,STATEN ISLAND,40.63095171,-74.09126516
1396,SHERIDAN TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.90490381,-73.89668332
1399,SCHOMBURG CENTER FOR RESEARCH IN BLACK CULTURE,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.8144,-73.941
1408,TOTTENVILLE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,STATEN ISLAND,40.50953037,-74.24410519
1411,PLAYGROUND ONE THIRTY FOUR CXXXIV,PARKS,PARKS AND PLAZAS,BRONX,40.8031928,-73.91755799
1421,TRAVIS TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.7668345,-73.81309867
1427,LA FINCA DEL SUR COMMUNITY GARDEN,GARDENS,PARKS AND PLAZAS,BRONX,40.81267225,-73.93018247
1431,96TH STREET LIBRARY,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.78595766,-73.95180829
1433,BRIGHTON BEACH LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.57616657,-73.96674493
1435,GARDEN PARTY,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.67417171,-73.88718752
1436,HERMAN DOLGON PLAYGROUND,PARKS,PARKS AND PLAZAS,BROOKLYN,40.59627052,-73.94042663
1440,FARM PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.73654267,-73.77789408
1448,TODT HILL WOODS,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,STATEN ISLAND,40.59666529,-74.11986246
1455,DEVOE PARK,PARKS,PARKS AND PLAZAS,BRONX,40.86367712,-73.90491772
1461,DIAS Y FLORES,GARDENS,PARKS AND PLAZAS,MANHATTAN,40.72908871,-73.97993817
1462,ANDREW HASWELL GREEN PARK,PARKS,PARKS AND PLAZAS,MANHATTAN,40.7595071,-73.95762528
1476,EAST END COMMUNITY GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.67370635,-73.89075127
1478,WOODSIDE HOUSES PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.7557708,-73.91159716
1479,UNITED COMMUNITY CENTER,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.6652715,-73.88683046
1486,ST NICHOLAS-POWERS ST GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.71273655,-73.93971528
1488,CLARA'S GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.6744034,-73.88902626
1494,FATHER FAGAN PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,MANHATTAN,40.72667305,-74.0033602
1498,THROG'S NECK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.82289954,-73.81908893
1507,ANCHORAGE PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.70153541,-73.9910454
1509,SHORT TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.74608575,-73.9454001
1511,BELLEROSE,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.73515845,-73.71709652
1516,CARLOS R. LILLO PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.77063344,-73.89358787
1535,BROWER PARK,PARKS,PARKS AND PLAZAS,BROOKLYN,40.67382848,-73.94383476
1553,POWELL PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.67126735,-73.90484269
1568,FRANKLIN D ROOSEVELT FOUR FREEDOMS PARK,PARKS,PARKS AND PLAZAS,MANHATTAN,40.76233,-73.949536
1574,KINGDOM POND PARK,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,STATEN ISLAND,40.52543495,-74.18494128
1577,SPRING CREEK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.65326482,-73.885907
1585,LAURELTON PARKWAY,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.67740174,-73.73175709
1586,EASTCHESTER PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.86976734,-73.85269956
1588,FISH PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.67806985,-73.91536699
1608,PLIMPTON PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.843948,-73.92239132
1612,SEELEY PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.65338243,-73.97783981
1614,PLAYGROUND OF THE AMERICAS,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,MANHATTAN,40.72800274,-74.00271469
1616,ANDRIES PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.62283326,-73.94645526
1618,PATRICK VAN DOREN POCKET PARK,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.68944594,-73.9300716
1619,JOHN V. LINDSAY EAST RIVER PARK,PARKS,PARKS AND PLAZAS,MANHATTAN,40.71698789,-73.97532681
1620,BRADYS POND PARK,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,STATEN ISLAND,40.60497656,-74.0790186
1624,BEACH 20TH ST PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.60327507,-73.75350154
1627,CLEARVIEW'S TAIL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.724589,-73.75546661
1630,GREAT KILLS VETERANS PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,STATEN ISLAND,40.54703087,-74.15179769
1638,BELL TOWER PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.88925676,-73.90839548
1642,BLOOD ROOT VALLEY,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,STATEN ISLAND,40.5911601,-74.13105937
1670,CROWLEY PLAYGROUND,PARKS,PARKS AND PLAZAS,QUEENS,40.72956158,-73.87961117
1678,VERNON CASES COMMUNITY GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.69424968,-73.95039853
1726,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.70115972,-73.98758828
1755,MICHEL TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.83889655,-73.90602622
1778,CEDAR GROVE PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.73616118,-73.82447014
1793,BATTERY PARK CITY LIBRARY,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.71562965,-74.01613054
1795,BROOKLYN HEIGHTS PROMENADE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.69552472,-73.99814742
1800,RAILROAD PARK,PARKS,PARKS AND PLAZAS,BRONX,40.82513039,-73.91537715
1805,POLICE OFFICER NICHOLAS DEMUTIIS PARK,PARKS,PARKS AND PLAZAS,QUEENS,40.681773,-73.83928308
1816,THE GENERAL SOCIETY LIBRARY,ACADEMIC AND SPECIAL LIBRARIES,LIBRARIES,MANHATTAN,40.75512023,-73.9813461
1846,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.64027872,-73.99450761
