OBJECTID,Offense,BORO_NM,Latitude,Longitude
236035,ROBBERY,BROOKLYN,40.647309,-74.011703
236155,ROBBERY,BROOKLYN,40.601859,-73.992086
236188,ROBBERY,MANHATTAN,40.72326034,-73.98843007
236241,ROBBERY,MANHATTAN,40.71772387,-73.98576516
236255,ROBBERY,MANHATTAN,40.754469,-73.980166
236266,ROBBERY,MANHATTAN,40.746788,-73.983671
236296,ROBBERY,MANHATTAN,40.720976,-73.97801
236325,ROBBERY,MANHATTAN,40.749011,-73.974265
236334,ROBBERY,BROOKLYN,40.6140296,-73.97399495
236373,ROBBERY,MANHATTAN,40.76291312,-73.96979992
236374,ROBBERY,BROOKLYN,40.660742,-73.960754
236406,ROBBERY,BROOKLYN,40.70589988,-73.96309912
236417,ROBBERY,MANHATTAN,40.80399068,-73.96031761
236499,ROBBERY,MANHATTAN,40.80334284,-73.95281577
236516,ROBBERY,BROOKLYN,40.637643,-73.94335234
236555,ROBBERY,MANHATTAN,40.797689,-73.944419
236587,ROBBERY,MANHATTAN,40.835576,-73.940052
236640,ROBBERY,MANHATTAN,40.79862668,-73.93952048
236673,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.634916,-73.932963
236785,ROBBERY,BRONX,40.82781161,-73.92592932
236786,ROBBERY,MANHATTAN,40.863077,-73.925692
236788,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.845188,-73.922462
236802,ROBBERY,BROOKLYN,40.672873,-73.923688
236814,ROBBERY,BROOKLYN,40.69749004,-73.9200732
236819,ROBBERY,BRONX,40.80755382,-73.91921496
236822,ROBBERY,BRONX,40.81976,-73.917104
236848,ROBBERY,MANHATTAN,40.8710088,-73.91925357
236884,ROBBERY,BRONX,40.830247,-73.916938
236936,ROBBERY,BROOKLYN,40.678151,-73.90848
236978,ROBBERY,BRONX,40.85009843,-73.90668934
236988,ROBBERY,QUEENS,40.745974,-73.90423
237012,ROBBERY,QUEENS,40.74547576,-73.90445038
237024,ROBBERY,QUEENS,40.70713048,-73.90325737
237046,ROBBERY,QUEENS,40.741071,-73.901076
237064,ROBBERY,BROOKLYN,40.65371032,-73.89245811
237092,ROBBERY,BRONX,40.823868,-73.891861
237108,ROBBERY,BRONX,40.822839,-73.885293
237113,ROBBERY,BRONX,40.822839,-73.885293
237144,ROBBERY,BRONX,40.872491,-73.886499
237149,ROBBERY,BRONX,40.881746,-73.882354
237225,ROBBERY,QUEENS,40.74946463,-73.86655598
237235,ROBBERY,BROOKLYN,40.650466,-73.869986
237264,ROBBERY,QUEENS,40.74884284,-73.86295174
237314,ROBBERY,BROOKLYN,40.6764488,-73.86453897
237343,ROBBERY,BRONX,40.833723,-73.856192
237502,ROBBERY,QUEENS,40.685871,-73.793581
237511,ROBBERY,QUEENS,40.708896,-73.815081
237517,ROBBERY,QUEENS,40.688969,-73.795858
237544,ROBBERY,QUEENS,40.778161,-73.748738
237564,RAPE,QUEENS,40.67998074,-73.77623391
237588,ROBBERY,QUEENS,40.716735,-73.742308
237623,ROBBERY,STATEN ISLAND,40.619404,-74.084672
237703,ROBBERY,MANHATTAN,40.733512,-74.003532
237745,ROBBERY,MANHATTAN,40.715949,-73.997351
237756,ROBBERY,MANHATTAN,40.735714,-73.998041
237758,ROBBERY,MANHATTAN,40.73736069,-73.99683897
237764,ROBBERY,MANHATTAN,40.72336515,-73.99570321
237807,ROBBERY,BROOKLYN,40.67910244,-73.98739218
237819,ROBBERY,MANHATTAN,40.755018,-73.991405
237820,ROBBERY,MANHATTAN,40.720192,-73.988734
237834,ROBBERY,MANHATTAN,40.75797289,-73.98553636
237850,ROBBERY,MANHATTAN,40.750423,-73.98928
237877,ROBBERY,BROOKLYN,40.576451,-73.986363
237904,ROBBERY,MANHATTAN,40.72587723,-73.9775339
237926,ROBBERY,BROOKLYN,40.57615688,-73.97598385
237961,ROBBERY,MANHATTAN,40.77767791,-73.96322904
238043,ROBBERY,BROOKLYN,40.699341,-73.957094
238060,ROBBERY,MANHATTAN,40.7694395,-73.95185781
238074,ROBBERY,BROOKLYN,40.655336,-73.951513
238075,ROBBERY,BROOKLYN,40.680554,-73.952265
238112,ROBBERY,MANHATTAN,40.79945852,-73.95152909
238132,ROBBERY,BROOKLYN,40.687474,-73.946186
238134,ROBBERY,MANHATTAN,40.784553,-73.943771
238178,ROBBERY,MANHATTAN,40.798285,-73.94082
238200,ROBBERY,MANHATTAN,40.81914224,-73.93717873
238230,ROBBERY,BROOKLYN,40.701728,-73.937673
