OBJECTID,Complaint ID,Offense,Latitude,Longitude,Borough,Public Area
117,266666628H1,MURDER & NON-NEGL. MANSLAUGHTER,40.627807,-74.079541,,
118,266695267,ROBBERY,40.591056,-74.088105,,
119,266709096,ROBBERY,40.5716115,-74.09417066,,
120,266727437,ROBBERY,40.625819,-74.078759,,
121,266720040,ROBBERY,40.631553,-74.146779,,
122,266765661,ROBBERY,40.626237,-74.175155,,
123,266799680,ROBBERY,40.642915,-74.094183,,
124,266876127,ROBBERY,40.638142,-74.075912,,
125,266840616,ROBBERY,40.644996,-74.077263,,
126,266915431,ROBBERY,40.621969,-74.140115,,
127,266930231,RAPE,40.62318838,-74.14923769,,
128,266932119,ROBBERY,40.5913352,-74.06751454,,
129,267050199,ROBBERY,40.63460864,-74.1580637,,
130,267011542,ROBBERY,40.644797,-74.087278,,
131,267108774,ROBBERY,40.625114,-74.077974,,
132,267122665,ROBBERY,40.5449,-74.161376,,
133,267212255H1,MURDER & NON-NEGL. MANSLAUGHTER,40.564004,-74.140759,,
134,267138407,ROBBERY,40.645974,-74.078036,,
135,268123275,RAPE,40.57428569,-74.10591441,,
136,267434441,ROBBERY,40.617789,-74.08110287,,
137,267479258,ROBBERY,40.624418,-74.139774,,
138,267497241,ROBBERY,40.586252,-74.102717,,
139,267779547,ROBBERY,40.575789,-74.127334,,
140,267825589,RAPE,40.64472094,-74.07703272,,
141,268067164H1,MURDER & NON-NEGL. MANSLAUGHTER,40.621409,-74.080076,,
142,268098806,ROBBERY,40.527587,-74.191658,,
143,268168691,ROBBERY,40.55195064,-74.15063524,,
144,268135278,ROBBERY,40.623977,-74.081548,,
145,268214653,ROBBERY,40.616191,-74.104035,,
146,268178405,ROBBERY,40.623796,-74.073767,,
147,268234709,ROBBERY,40.612712,-74.103037,,
148,268242907,ROBBERY,40.634852,-74.084938,,
149,268302525,ROBBERY,40.638977,-74.171252,,
150,268408080,ROBBERY,40.63602442,-74.13477006,,
151,268697223,ROBBERY,40.623713,-74.085106,,
152,268925995,ROBBERY,40.60376856,-74.13156825,,
153,269954043,RAPE,40.64472094,-74.07703272,,
154,269002693,ROBBERY,40.626237,-74.175155,,
155,269037319,ROBBERY,40.626133,-74.157252,,
156,269196679,RAPE,40.57428569,-74.10591441,,
157,278636633,RAPE,40.64472094,-74.07703272,,
158,269272234,ROBBERY,40.575308,-74.12237,,
159,269271881,ROBBERY,40.542057,-74.177447,,
160,269303345,ROBBERY,40.639713,-74.088073,,
161,269306893,RAPE,40.62318838,-74.14923769,,
162,269333036,ROBBERY,40.63673589,-74.13428148,,
163,269425283,ROBBERY,40.614918,-74.101409,,
164,269538562,ROBBERY,40.527884,-74.227217,,
165,269616971,ROBBERY,40.64322,-74.075921,,
166,269677842,ROBBERY,40.619404,-74.084672,,
167,269788091,ROBBERY,40.562163,-74.174358,,
168,269810372,ROBBERY,40.63965233,-74.07550486,,
169,269966495,ROBBERY,40.582305,-74.169067,,
170,269975852,ROBBERY,40.62156431,-74.16848285,,
171,270040299,ROBBERY,40.611323,-74.159715,,
172,270018956,ROBBERY,40.625819,-74.078759,,
173,270077622,ROBBERY,40.550145,-74.17089,,
174,270078137,ROBBERY,40.613033,-74.123317,,
175,270084982,ROBBERY,40.611647,-74.070934,,
176,270177922,ROBBERY,40.626237,-74.175155,,
177,270085642,ROBBERY,40.59535,-74.086097,,
178,270113487,ROBBERY,40.63401,-74.16626,,
179,270132690,ROBBERY,40.636249,-74.076013,,
180,270214034H1,MURDER & NON-NEGL. MANSLAUGHTER,40.62676,-74.154365,,
181,270196579,ROBBERY,40.63457814,-74.14583171,,
182,270185735,ROBBERY,40.63776,-74.076476,,
183,270314619,ROBBERY,40.635466,-74.127964,,
184,270334196,ROBBERY,40.627141,-74.078302,,
185,270352583,ROBBERY,40.619228,-74.069942,,
186,270384994,ROBBERY,40.625382,-74.092682,,
187,270978546,RAPE,40.57428569,-74.10591441,,
188,270512562,ROBBERY,40.618583,-74.084877,,
189,270483046,ROBBERY,40.63594,-74.089363,,
190,270632723,ROBBERY,40.541776,-74.173318,,
191,270612550,ROBBERY,40.636249,-74.076013,,
192,270649438,ROBBERY,40.618806,-74.082327,,
193,270976425,ROBBERY,40.635001,-74.169717,,
194,271015360,ROBBERY,40.546678,-74.222482,,
195,271016897H1,MURDER & NON-NEGL. MANSLAUGHTER,40.617024,-74.123601,,
196,271161153,ROBBERY,40.62325194,-74.08382565,,
197,271136340,ROBBERY,40.634484,-74.118152,,
198,271579265,ROBBERY,40.548003,-74.226121,,
199,271171731,ROBBERY,40.635466,-74.127964,,
200,271226444,ROBBERY,40.603782,-74.08354,,
201,271612488,RAPE,40.64472094,-74.07703272,,
202,274118035,RAPE,40.64472094,-74.07703272,,
203,271337369,ROBBERY,40.59535,-74.086097,,
204,271380562,ROBBERY,40.59861136,-74.08075909,,
205,271410234,ROBBERY,40.567358,-74.112884,,
206,271442074,ROBBERY,40.626851,-74.163438,,
207,271522220,ROBBERY,40.637067,-74.076204,,
208,271812183H1,MURDER & NON-NEGL. MANSLAUGHTER,40.636323,-74.157967,,
