OBJECTID,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
15,261775688H1,2023-01-11,19:30:00,,(null),120,2023-01-11,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,STATEN ISLAND,OUTSIDE,(null),N.Y. POLICE DEPT,(null),(null),950793,170009,40.63325,-74.120539,"(40.63325, -74.120539)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,261860831,2023-01-12,17:25:00,2023-01-12,17:35:00,120,2023-01-13,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),961243,172897,40.64120901,-74.08290054,"(40.64120901, -74.08290054)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,261852145,2023-01-13,8:45:00,2023-01-13,09:15:00,120,2023-01-13,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,(null),OPEN AREAS (OPEN LOTS),N.Y. POLICE DEPT,(null),(null),961149,173129,40.64184556,-74.08324005,"(40.64184556, -74.08324005)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,261843553,2023-01-13,0:30:00,2023-01-13,01:30:00,120,2023-01-13,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),966190,160182,40.606321,-74.065039,"(40.606321, -74.065039)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,261926303,2023-01-14,23:00:00,2023-01-14,23:05:00,120,2023-01-14,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),961360,160963,40.608453,-74.082436,"(40.608453, -74.082436)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,261895324,2023-01-14,2:00:00,2023-01-14,02:00:00,122,2023-01-14,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,(null),FAST FOOD,N.Y. POLICE DEPT,(null),(null),953756,147132,40.5704668,-74.10976191,"(40.5704668, -74.10976191)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,261958745,2023-01-15,16:00:00,2023-01-15,19:15:00,120,2023-01-15,104,RAPE,153,RAPE 3,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),962873,174172,40.64472094,-74.07703272,"(40.6447209438691, -74.0770327198983)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,262170680,2023-01-16,18:20:00,2023-01-16,19:00:00,121,2023-01-16,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,(null),(null),938881,167697,40.626851,-74.163438,"(40.626851, -74.163438)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,262015386,2023-01-17,4:20:00,2023-01-17,04:35:00,120,2023-01-17,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),963024,171638,40.63776,-74.076476,"(40.63776, -74.076476)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,262115666,2023-01-18,19:05:00,2023-01-18,19:15:00,120,2023-01-18,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),959914,171400,40.637099,-74.087683,"(40.637099, -74.087683)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
