OBJECTID,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
55,263748887,2023-02-16,21:00:00,,(null),123,2023-02-16,105,ROBBERY,380,"ROBBERY,CAR JACKING",ATTEMPTED,FELONY,STATEN ISLAND,FRONT OF,PARKING LOT/GARAGE (PUBLIC),N.Y. POLICE DEPT,(null),(null),918928,129743,40.52255,-74.234952,"(40.52255, -74.234952)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,263839261H1,2023-02-16,23:55:00,,(null),120,2023-02-16,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,STATEN ISLAND,INSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,(null),(null),963050,167318,40.625903,-74.07637,"(40.625903, -74.07637)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,263809069,2023-02-17,16:40:00,2023-02-17,16:44:00,123,2023-02-17,105,ROBBERY,382,"ROBBERY,NECKCHAIN/JEWELRY",COMPLETED,FELONY,STATEN ISLAND,INSIDE,BEAUTY & NAIL SALON,N.Y. POLICE DEPT,(null),(null),938929,136810,40.542072,-74.16306,"(40.542072, -74.16306)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,277448172,2023-02-17,19:00:00,,(null),120,2023-11-13,104,RAPE,157,RAPE 1,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),962873,174172,40.64472094,-74.07703272,"(40.6447209438691, -74.0770327198983)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,263762506,2023-02-17,0:08:00,2023-02-17,00:20:00,122,2023-02-17,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),966053,157279,40.598352,-74.065527,"(40.598352, -74.065527)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,263809067,2023-02-17,14:56:00,2023-02-17,15:00:00,120,2023-02-17,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,FAST FOOD,N.Y. POLICE DEPT,(null),(null),952391,168499,40.629112,-74.114774,"(40.629112, -74.114774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,263859169,2023-02-18,22:50:00,2023-02-18,23:05:00,120,2023-02-18,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),962383,171825,40.63826949,-74.07878934,"(40.63826949, -74.07878934)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,263855909,2023-02-18,19:40:00,2023-02-18,19:48:00,121,2023-02-18,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,(null),(null),946498,166992,40.624951,-74.135996,"(40.624951, -74.135996)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,263942349,2023-02-18,22:44:00,2023-02-18,23:00:00,120,2023-02-20,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),961193,163266,40.614774,-74.083046,"(40.614774, -74.083046)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,263842792,2023-02-18,12:07:00,2023-02-18,13:00:00,120,2023-02-18,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,REAR OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),961577,163519,40.61547,-74.081663,"(40.61547, -74.081663)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,263858933,2023-02-18,20:54:00,2023-02-18,21:04:00,120,2023-02-18,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),961612,166618,40.623977,-74.081548,"(40.623977, -74.081548)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,263882919,2023-02-19,10:37:00,2023-02-19,10:50:00,122,2023-02-19,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,(null),(null),961759,157377,40.598611,-74.080986,"(40.598611, -74.080986)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,267632710H1,2023-02-20,4:07:00,,(null),120,2023-02-20,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,STATEN ISLAND,INSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,(null),(null),960193,163331,40.61495,-74.086649,"(40.61495, -74.086649)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,263993697,2023-02-21,23:00:00,2023-02-21,23:05:00,122,2023-02-21,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),958246,158840,40.60262,-74.093645,"(40.60262, -74.093645)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,264102912,2023-02-23,10:20:00,2023-02-23,10:25:00,122,2023-02-23,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),951403,149484,40.576915,-74.118241,"(40.576915, -74.118241)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,264185284,2023-02-25,0:10:00,2023-02-25,00:20:00,120,2023-02-25,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",ATTEMPTED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),964047,173812,40.643729,-74.072798,"(40.643729, -74.072798)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,264213726,2023-02-25,14:20:00,2023-02-25,14:25:00,122,2023-02-25,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),953809,150554,40.579862,-74.109586,"(40.579862, -74.109586)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,264243990,2023-02-26,9:20:00,2023-02-26,09:40:00,120,2023-02-26,104,RAPE,159,"RAPE 1,ATTEMPT",ATTEMPTED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),962873,174172,40.64472094,-74.07703272,"(40.6447209438691, -74.0770327198983)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,264404227,2023-03-01,20:30:00,2023-03-01,20:50:00,120,2023-03-01,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),961826,174435,40.645434,-74.080804,"(40.645434, -74.080804)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,264494739,2023-03-03,10:30:00,2023-03-03,10:45:00,120,2023-03-03,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),961139,165608,40.621203,-74.083249,"(40.621203, -74.083249)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,264561958,2023-03-04,14:30:00,2023-03-04,14:45:00,121,2023-03-04,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,(null),OTHER,N.Y. POLICE DEPT,WILLOWBROOK PARK,(null),945246,159022,40.60306909,-74.14046189,"(40.60306909, -74.14046189)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,264641039,2023-03-06,7:10:00,2023-03-06,07:15:00,121,2023-03-06,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),936721,172119,40.638977,-74.171252,"(40.638977, -74.171252)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,269877079H1,2023-03-08,12:01:00,,(null),123,2023-03-08,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,STATEN ISLAND,INSIDE,PVT HOUSE,N.Y. POLICE DEPT,(null),(null),929462,142767,40.558371,-74.197171,"(40.558371, -74.197171)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,264906378,2023-03-10,20:00:00,2023-03-10,20:04:00,120,2023-03-10,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),961320,175255,40.647682,-74.082631,"(40.647682, -74.082631)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,264800921,2023-03-10,1:36:00,2023-03-10,01:46:00,120,2023-03-10,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),963024,171638,40.63776,-74.076476,"(40.63776, -74.076476)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,265348356,2023-03-11,21:00:00,2023-03-11,22:00:00,122,2023-03-19,104,RAPE,157,RAPE 1,COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),954827,148519,40.57428569,-74.10591441,"(40.5742856881925, -74.1059144051212)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,265128292,2023-03-13,23:00:00,2023-03-14,01:30:00,121,2023-03-15,104,RAPE,157,RAPE 1,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),942822,166353,40.62318838,-74.14923769,"(40.6231883776008, -74.1492376947323)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,265175832,2023-03-15,18:40:00,2023-03-15,19:10:00,121,2023-03-15,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),940816,169143,40.630831,-74.15648,"(40.630831, -74.15648)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,265279100,2023-03-15,10:45:00,2023-03-15,12:00:00,120,2023-03-17,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),961417,164057,40.616946,-74.082242,"(40.616946, -74.082242)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,265170630,2023-03-15,18:00:00,2023-03-15,18:10:00,120,2023-03-15,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),964054,162030,40.611389,-74.072738,"(40.611389, -74.072738)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,265235283,2023-03-16,15:00:00,2023-03-16,15:30:00,120,2023-03-16,105,ROBBERY,382,"ROBBERY,NECKCHAIN/JEWELRY",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),959908,161320,40.60943,-74.087667,"(40.60943, -74.087667)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,265274236,2023-03-17,4:45:00,2023-03-17,04:50:00,120,2023-03-17,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,(null),OTHER,N.Y. POLICE DEPT,(null),(null),961734,164364,40.617789,-74.08110287,"(40.617789, -74.08110287)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,265290581,2023-03-18,5:30:00,2023-03-18,05:45:00,121,2023-03-18,105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),938890,170111,40.633478,-74.163424,"(40.633478, -74.163424)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,265291275,2023-03-18,4:10:00,2023-03-18,04:31:00,121,2023-03-18,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,FOOD SUPERMARKET,N.Y. POLICE DEPT,(null),(null),942827,166373,40.623238,-74.149217,"(40.623238, -74.149217)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,265293291,2023-03-18,2:15:00,2023-03-18,02:24:00,120,2023-03-18,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),960388,164990,40.619505,-74.085952,"(40.619505, -74.085952)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,265348484,2023-03-19,20:10:00,2023-03-19,20:20:00,120,2023-03-19,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,REAR OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),951319,171305,40.63681,-74.11865,"(40.63681, -74.11865)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,265381980,2023-03-20,11:30:00,2023-03-20,14:23:00,122,2023-03-20,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),955641,153484,40.587909,-74.103003,"(40.587909, -74.103003)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,265403958,2023-03-21,3:00:00,2023-03-21,03:30:00,120,2023-03-21,104,RAPE,157,RAPE 1,COMPLETED,FELONY,STATEN ISLAND,REAR OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),962873,174172,40.64472094,-74.07703272,"(40.6447209438691, -74.0770327198983)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,265452569,2023-03-22,2:15:00,2023-03-22,02:19:00,121,2023-03-22,105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),944384,167503,40.626345,-74.143613,"(40.626345, -74.143613)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,265489089,2023-03-22,11:35:00,2023-03-22,11:45:00,120,2023-03-22,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,OTHER,N.Y. POLICE DEPT,(null),(null),962749,173101,40.641774,-74.077471,"(40.641774, -74.077471)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,265673021H1,2023-03-25,14:52:00,,(null),120,2023-03-25,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,STATEN ISLAND,OUTSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,(null),(null),961577,163519,40.61547,-74.081663,"(40.61547, -74.081663)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,265667019,2023-03-26,3:20:00,,(null),120,2023-03-26,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),959527,161249,40.609236,-74.089041,"(40.609236, -74.089041)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,265744196,2023-03-26,4:00:00,2023-03-27,04:00:00,120,2023-03-28,104,RAPE,157,RAPE 1,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),962873,174172,40.64472094,-74.07703272,"(40.6447209438691, -74.0770327198983)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,265741763,2023-03-27,11:00:00,2023-03-27,22:40:00,120,2023-03-27,104,RAPE,157,RAPE 1,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),962873,174172,40.64472094,-74.07703272,"(40.6447209438691, -74.0770327198983)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,265739622,2023-03-27,18:35:00,2023-03-27,18:45:00,120,2023-03-27,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),960348,171964,40.638647,-74.086121,"(40.638647, -74.086121)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,265739627,2023-03-27,20:49:00,2023-03-27,20:50:00,122,2023-03-27,105,ROBBERY,375,"ROBBERY,PHARMACY",ATTEMPTED,FELONY,STATEN ISLAND,INSIDE,DRUG STORE,N.Y. POLICE DEPT,(null),(null),954262,150235,40.578987,-74.107952,"(40.578987, -74.107952)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,265775989,2023-03-28,12:00:00,2023-03-28,12:15:00,120,2023-03-28,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),961971,174202,40.64479282,-74.08028167,"(40.64479282, -74.08028167)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,266022919,2023-04-01,15:00:00,2023-04-01,17:00:00,122,2023-04-01,105,ROBBERY,398,"ROBBERY,PUBLIC PLACE INSIDE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,HOSPITAL,N.Y. POLICE DEPT,(null),(null),960514,151754,40.583176,-74.08545,"(40.583176, -74.08545)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,266062136,2023-04-02,21:30:00,2023-04-02,21:42:00,121,2023-04-02,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),943246,168395,40.628788,-74.14772,"(40.628788, -74.14772)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,266053170,2023-04-02,15:31:00,2023-04-02,15:38:00,120,2023-04-02,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,COMMERCIAL BUILDING,N.Y. POLICE DEPT,(null),(null),960913,165939,40.62211,-74.084062,"(40.62211, -74.084062)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,266048799,2023-04-02,14:35:00,,(null),122,2023-04-02,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,REAR OF,STREET,N.Y. POLICE DEPT,(null),(null),950755,158676,40.602143,-74.120618,"(40.602143, -74.120618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,266248891H1,2023-04-03,13:00:00,,(null),120,2023-04-03,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,STATEN ISLAND,INSIDE,(null),N.Y. POLICE DEPT,(null),(null),959734,174240,40.644892,-74.088341,"(40.644892, -74.088341)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,266117872,2023-04-03,21:00:00,2023-04-03,21:10:00,122,2023-04-04,104,RAPE,157,RAPE 1,COMPLETED,FELONY,STATEN ISLAND,REAR OF,OTHER,N.Y. POLICE DEPT,(null),(null),954827,148519,40.57428569,-74.10591441,"(40.5742856881925, -74.1059144051212)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,266087409,2023-04-03,12:45:00,2023-04-03,12:50:00,122,2023-04-03,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,FOOD SUPERMARKET,N.Y. POLICE DEPT,(null),(null),955133,148921,40.575382,-74.104812,"(40.575382, -74.104812)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,266162865,2023-04-03,21:30:00,2023-04-03,22:30:00,120,2023-04-04,105,ROBBERY,395,"ROBBERY,ON BUS/ OR BUS DRIVER",COMPLETED,FELONY,STATEN ISLAND,(null),BUS (NYC TRANSIT),N.Y. POLICE DEPT,(null),(null),964114,166065,40.62246362,-74.07253516,"(40.62246362, -74.07253516)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,266108940,2023-04-04,1:50:00,2023-04-04,01:55:00,121,2023-04-04,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),938084,153602,40.588159,-74.166217,"(40.588159, -74.166217)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,266216869,2023-04-05,13:00:00,2023-04-05,13:30:00,120,2023-04-05,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),962896,171647,40.63778217,-74.07694038,"(40.63778217, -74.07694038)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,266319438,2023-04-06,18:15:00,2023-04-06,18:30:00,120,2023-04-06,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),950493,161759,40.61060312,-74.12158001,"(40.61060312, -74.12158001)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,266351509,2023-04-07,17:17:00,2023-04-07,17:19:00,122,2023-04-07,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,VARIETY STORE,N.Y. POLICE DEPT,(null),(null),961267,157237,40.598227,-74.082759,"(40.598227, -74.082759)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,266374032,2023-04-08,9:30:00,2023-04-08,10:00:00,120,2023-04-08,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),950198,168379,40.628773,-74.122675,"(40.628773, -74.122675)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,266518182,2023-04-11,17:10:00,2023-04-11,17:15:00,123,2023-04-11,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,PARKING LOT/GARAGE (PRIVATE),N.Y. POLICE DEPT,(null),(null),934803,136399,40.540923,-74.177901,"(40.540923, -74.177901)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,266575382,2023-04-12,13:20:00,2023-04-12,13:30:00,120,2023-04-12,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,(null),(null),963129,167869,40.627414,-74.076089,"(40.627414, -74.076089)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,266666628H1,2023-04-13,22:30:00,,(null),120,2023-04-13,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,STATEN ISLAND,OUTSIDE,(null),N.Y. POLICE DEPT,(null),(null),962170,168013,40.627807,-74.079541,"(40.627807, -74.079541)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,266695267,2023-04-14,17:40:00,2023-04-14,18:00:00,122,2023-04-14,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),959780,154626,40.591056,-74.088105,"(40.591056, -74.088105)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,266709096,2023-04-15,3:40:00,2023-04-15,04:30:00,122,2023-04-15,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),958088,147544,40.5716115,-74.09417066,"(40.5716115, -74.09417066)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,266727437,2023-04-15,12:30:00,2023-04-15,13:00:00,120,2023-04-15,105,ROBBERY,366,"ROBBERY,BICYCLE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,(null),(null),962387,167289,40.625819,-74.078759,"(40.625819, -74.078759)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,266720040,2023-04-15,10:20:00,2023-04-15,10:30:00,121,2023-04-15,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),943509,169402,40.631553,-74.146779,"(40.631553, -74.146779)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
