OBJECTID,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,Borough,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,Public Area,Public Area (supergroup),facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
1,261262931,1/1/2023,2:00:00,1/1/2023,4:00:00,72,1/3/2023,104,RAPE,157,RAPE 1,COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),984128,179058,40.65815775,-74.00044115,"(40.6581577535544, -74.0004411548878)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,261207677,1/1/2023,19:35:00,1/1/2023,19:40:00,62,1/1/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),986865,159712,40.605049,-73.990582,"(40.605049, -73.990582)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,261196045,1/1/2023,5:00:00,1/1/2023,6:30:00,60,1/1/2023,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),987061,148773,40.575023,-73.98988,"(40.575023, -73.98988)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,261199145,1/1/2023,13:50:00,1/1/2023,14:00:00,60,1/1/2023,105,ROBBERY,366,"ROBBERY,BICYCLE",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),988705,154179,40.589863,-73.983958,"(40.589863, -73.983958)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,261188346,1/1/2023,6:40:00,1/1/2023,6:50:00,70,1/1/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),993964,168531,40.629252,-73.965003,"(40.629252, -73.965003)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,261207676,1/1/2023,17:20:00,1/1/2023,17:25:00,61,1/1/2023,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",ATTEMPTED,FELONY,BROOKLYN,FRONT OF,FOOD SUPERMARKET,N.Y. POLICE DEPT,(null),(null),996228,157431,40.598782,-73.956867,"(40.598782, -73.956867)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,261197534,1/1/2023,10:00:00,1/1/2023,10:07:00,70,1/1/2023,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,JEWELRY,N.Y. POLICE DEPT,(null),(null),995770,175895,40.64946,-73.958482,"(40.64946, -73.958482)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,261505978,1/1/2023,0:01:00,1/1/2023,12:00:00,61,1/6/2023,104,RAPE,153,RAPE 3,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),995122,155693,40.59401906,-73.96085432,"(40.5940190586592, -73.9608543158447)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,261210620,1/1/2023,23:55:00,1/2/2023,0:00:00,79,1/2/2023,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,BROOKLYN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),996126,190239,40.688832,-73.957177,"(40.688832, -73.957177)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,261199148,1/1/2023,12:00:00,1/1/2023,12:15:00,71,1/1/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,INSIDE,HOSPITAL,N.Y. POLICE DEPT,(null),(null),999439,178174,40.655711,-73.945257,"(40.655711, -73.945257)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,262831513,1/1/2023,7:00:00,1/31/2023,7:00:00,79,2/1/2023,104,RAPE,155,RAPE 2,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),999496,190300,40.6890014,-73.94502653,"(40.68900139556, -73.9450265328727)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,261208850,1/1/2023,20:30:00,1/1/2023,20:35:00,81,1/1/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,REAR OF,PUBLIC BUILDING,N.Y. POLICE DEPT,(null),(null),1001963,186901,40.679662,-73.936135,"(40.679662, -73.936135)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,261209153,1/1/2023,18:40:00,1/1/2023,18:45:00,77,1/1/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),1002407,185867,40.67682,-73.934538,"(40.67682, -73.934538)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,262166973,1/1/2023,23:30:00,,(null),71,1/19/2023,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),1002577,182822,40.668463,-73.933935,"(40.668463, -73.933935)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,261196055,1/1/2023,2:40:00,1/1/2023,3:20:00,63,1/1/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),1002709,165225,40.620162,-73.933508,"(40.620162, -73.933508)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,261205546,1/1/2023,16:40:00,1/1/2023,16:45:00,81,1/1/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),1005283,187666,40.681753,-73.924165,"(40.681753, -73.924165)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,261251485,1/1/2023,22:00:00,1/1/2023,22:10:00,67,1/2/2023,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),1006159,180446,40.661934,-73.921029,"(40.661934, -73.921029)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,261206590,1/1/2023,4:20:00,1/1/2023,4:25:00,67,1/1/2023,105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),1006470,174102,40.644519,-73.919929,"(40.644519, -73.919929)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,261233685,1/1/2023,23:30:00,1/1/2023,23:50:00,75,1/2/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),1012436,184893,40.67412041,-73.89838796,"(40.67412041, -73.89838796)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,261196076,1/1/2023,5:55:00,1/1/2023,6:30:00,75,1/1/2023,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),1019291,182550,40.66766493,-73.87368753,"(40.66766493233449, -73.87368753493885)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,261242304,1/2/2023,15:40:00,1/2/2023,15:48:00,68,1/2/2023,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,BROOKLYN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),975994,164474,40.618118,-74.029738,"(40.618118, -74.029738)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,261249679,1/2/2023,19:12:00,1/2/2023,19:16:00,61,1/2/2023,105,ROBBERY,383,"ROBBERY,DELIVERY PERSON",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),992502,153638,40.588374,-73.970288,"(40.588374, -73.970288)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,261249700,1/2/2023,15:45:00,1/2/2023,15:45:00,77,1/2/2023,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),993961,184556,40.673237,-73.964989,"(40.673237, -73.964989)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,261253223,1/2/2023,19:45:00,1/2/2023,19:55:00,61,1/2/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,BROOKLYN,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),997364,155130,40.592463,-73.95278,"(40.592463, -73.95278)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,261254526,1/2/2023,23:16:00,1/2/2023,23:18:00,61,1/3/2023,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,BROOKLYN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),998038,155622,40.593812,-73.950353,"(40.593812, -73.950353)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,261210171,1/2/2023,0:35:00,1/2/2023,0:50:00,90,1/2/2023,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,BROOKLYN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),997729,198291,40.710931,-73.951379,"(40.710931, -73.951379)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,261872852,1/2/2023,20:00:00,1/2/2023,21:00:00,90,1/13/2023,104,RAPE,153,RAPE 3,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),998002,196692,40.70654839,-73.95040063,"(40.7065483947783, -73.9504006335643)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,261233720,1/2/2023,8:50:00,1/2/2023,8:55:00,90,1/2/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,(null),(null),1000351,194575,40.7007255,-73.94193187,"(40.7007255, -73.94193187)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,261253226,1/2/2023,20:00:00,1/2/2023,20:56:00,63,1/2/2023,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),1001248,165061,40.619717,-73.938768,"(40.619717, -73.938768)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,261253562,1/2/2023,23:23:00,1/2/2023,23:30:00,63,1/2/2023,105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),1005011,169062,40.63068831,-73.9252042,"(40.63068831, -73.9252042)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,261233686,1/2/2023,4:00:00,1/2/2023,5:30:00,75,1/2/2023,104,RAPE,157,RAPE 1,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),1017036,183890,40.67135982,-73.88181102,"(40.6713598203364, -73.8818110231735)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,261247865,1/2/2023,16:15:00,1/2/2023,16:30:00,75,1/2/2023,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,(null),(null),1016962,182175,40.666646,-73.882081,"(40.666646, -73.882081)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,261249694,1/2/2023,18:20:00,1/2/2023,18:27:00,75,1/2/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),1021486,187285,40.68065246,-73.86574906,"(40.68065246, -73.86574906)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,261254530,1/3/2023,0:40:00,1/3/2023,0:50:00,68,1/3/2023,105,ROBBERY,398,"ROBBERY,PUBLIC PLACE INSIDE",COMPLETED,FELONY,BROOKLYN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),976348,171356,40.637007,-74.028469,"(40.637007, -74.028469)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,261747287,1/3/2023,12:00:00,1/3/2023,13:00:00,72,1/11/2023,104,RAPE,155,RAPE 2,ATTEMPTED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),984128,179058,40.65815775,-74.00044115,"(40.6581577535544, -74.0004411548878)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,261287620,1/3/2023,15:36:00,1/3/2023,15:38:00,66,1/3/2023,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",ATTEMPTED,FELONY,BROOKLYN,(null),OTHER,N.Y. POLICE DEPT,(null),(null),985557,169674,40.63239235,-73.99529114,"(40.63239235, -73.99529114)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,261293611,1/3/2023,21:17:00,1/3/2023,21:30:00,72,1/4/2023,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,BROOKLYN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),991484,178095,40.655506,-73.973928,"(40.655506, -73.973928)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,261285774,1/3/2023,18:50:00,1/3/2023,19:00:00,60,1/3/2023,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,BROOKLYN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,(null),(null),990796,149587,40.577258,-73.976436,"(40.577258, -73.976436)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,261287614,1/3/2023,19:14:00,1/3/2023,19:19:00,60,1/3/2023,105,ROBBERY,393,"ROBBERY,OF TRUCK DRIVER",COMPLETED,FELONY,BROOKLYN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,(null),(null),994855,150075,40.578591,-73.961822,"(40.578591, -73.961822)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,261287625,1/3/2023,17:50:00,1/3/2023,18:00:00,70,1/3/2023,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),995475,175347,40.647959,-73.959548,"(40.647959, -73.959548)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,261285794,1/3/2023,18:00:00,,(null),90,1/3/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),996441,195653,40.703693,-73.956029,"(40.703693, -73.956029)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,261284042,1/3/2023,18:10:00,1/3/2023,18:15:00,67,1/3/2023,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,BROOKLYN,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,(null),(null),998712,170676,40.635133,-73.947894,"(40.635133, -73.947894)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,261588113H1,1/3/2023,3:48:00,,(null),,1/3/2023,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,BROOKLYN,OUTSIDE,(null),N.Y. POLICE DEPT,(null),(null),1000638,195737,40.70391439,-73.94089398,"(40.70391439, -73.94089398)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,261273778,1/3/2023,5:00:00,,(null),73,1/3/2023,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),1006906,183999,40.671683,-73.918326,"(40.671683, -73.918326)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,261508207,1/3/2023,1:00:00,1/3/2023,9:00:00,75,1/6/2023,104,RAPE,157,RAPE 1,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),1017036,183890,40.67135982,-73.88181102,"(40.6713598203364, -73.8818110231735)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,261277576,1/3/2023,12:55:00,1/3/2023,13:00:00,75,1/3/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,FRONT OF,DRUG STORE,N.Y. POLICE DEPT,(null),(null),1020402,182764,40.668249,-73.869681,"(40.668249, -73.869681)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,261314707,1/4/2023,1:30:00,1/4/2023,2:00:00,66,1/4/2023,105,ROBBERY,398,"ROBBERY,PUBLIC PLACE INSIDE",ATTEMPTED,FELONY,BROOKLYN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,(null),(null),985611,174612,40.6459461,-73.99509559,"(40.6459461, -73.99509559)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,261368365,1/4/2023,15:40:00,1/4/2023,15:44:00,84,1/4/2023,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,SMALL MERCHANT,N.Y. POLICE DEPT,(null),(null),989330,189097,40.685705,-73.981681,"(40.685705, -73.981681)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,261357503,1/4/2023,16:20:00,1/4/2023,16:28:00,78,1/4/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),990722,188102,40.68297089,-73.976665,"(40.68297089, -73.976665)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,261352745,1/4/2023,14:04:00,1/4/2023,14:22:00,78,1/4/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),990741,187791,40.68211726,-73.97659679,"(40.68211726, -73.97659679)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,261467500H1,1/4/2023,19:25:00,,(null),66,1/4/2023,101,MURDER & NON-NEGL. MANSLAUGHTER,,(null),COMPLETED,FELONY,BROOKLYN,INSIDE,MULTI DWELL - APT BUILD,N.Y. POLICE DEPT,(null),(null),991499,170547,40.634786,-73.97388,"(40.634786, -73.97388)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,261292484,1/4/2023,1:12:00,1/4/2023,1:17:00,94,1/4/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),997158,201177,40.718854,-73.953432,"(40.718854, -73.953432)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,261368366,1/4/2023,20:40:00,1/4/2023,20:45:00,90,1/4/2023,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,BROOKLYN,(null),COMMERCIAL BUILDING,N.Y. POLICE DEPT,(null),(null),995733,197465,40.708666,-73.958578,"(40.708666, -73.958578)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,261293620,1/4/2023,1:05:00,1/4/2023,1:15:00,90,1/4/2023,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),998306,196769,40.706753,-73.949301,"(40.706753, -73.949301)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,261307766,1/4/2023,2:24:00,1/4/2023,2:30:00,94,1/4/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),997639,199606,40.71453893,-73.95170267,"(40.71453893, -73.95170267)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,261368811,1/4/2023,19:00:00,1/4/2023,19:15:00,77,1/4/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),1002772,185557,40.67596844,-73.93322535,"(40.67596844, -73.93322535)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,261412566,1/4/2023,23:30:00,1/5/2023,0:05:00,81,1/5/2023,105,ROBBERY,380,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),1004221,191604,40.69256291,-73.92798357,"(40.69256291, -73.92798357)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,261311131,1/4/2023,2:00:00,1/4/2023,2:35:00,67,1/4/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),1005656,181038,40.663561,-73.922839,"(40.663561, -73.922839)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,261370833,1/4/2023,22:40:00,1/4/2023,22:45:00,83,1/5/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),1007159,192007,40.693663,-73.917385,"(40.693663, -73.917385)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,261369122,1/4/2023,1:00:00,1/4/2023,3:00:00,73,1/4/2023,104,RAPE,157,RAPE 1,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),1008245,183796,40.67113,-73.91350206,"(40.6711300016904, -73.9135020552048)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,261311138,1/4/2023,1:20:00,1/4/2023,1:25:00,83,1/4/2023,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),1007769,192389,40.694709,-73.915185,"(40.694709, -73.915185)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,261307762,1/4/2023,0:25:00,1/4/2023,0:35:00,73,1/4/2023,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),1009325,185378,40.675462,-73.909598,"(40.675462, -73.909598)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,261369130,1/4/2023,20:45:00,1/4/2023,21:10:00,83,1/4/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),1008922,193717,40.69835075,-73.9110238,"(40.69835075, -73.9110238)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,261368804,1/4/2023,20:35:00,1/4/2023,20:40:00,75,1/4/2023,105,ROBBERY,367,"ROBBERY, CHAIN STORE",ATTEMPTED,FELONY,BROOKLYN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,(null),(null),1012212,179425,40.65911269,-73.89921817,"(40.65911269, -73.89921817)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,261323764,1/4/2023,2:00:00,1/4/2023,3:00:00,69,1/4/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,(null),(null),1011359,174331,40.64513343,-73.90231306,"(40.64513343, -73.90231306)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,261323770,1/4/2023,5:45:00,1/4/2023,5:45:00,75,1/4/2023,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,BROOKLYN,FRONT OF,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),1014198,179661,40.659756,-73.892057,"(40.659756, -73.892057)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,261402597,1/5/2023,6:30:00,1/5/2023,6:38:00,60,1/5/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,(null),(null),987301,149187,40.57615928,-73.98901711,"(40.57615928, -73.98901711)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
