OBJECTID,Borough,Offense,Latitude,Longitude,Public Area
73,Staten Island,ROBBERY,40.645434,-74.080804,
74,Staten Island,ROBBERY,40.621203,-74.083249,
75,Staten Island,ROBBERY,40.60306909,-74.14046189,
76,Staten Island,ROBBERY,40.638977,-74.171252,
77,Staten Island,MURDER,40.558371,-74.197171,
78,Staten Island,ROBBERY,40.647682,-74.082631,
79,Staten Island,ROBBERY,40.63776,-74.076476,
80,Staten Island,RAPE,40.57428569,-74.10591441,
81,Staten Island,RAPE,40.62318838,-74.14923769,
82,Staten Island,ROBBERY,40.630831,-74.15648,
83,Staten Island,ROBBERY,40.616946,-74.082242,
84,Staten Island,ROBBERY,40.611389,-74.072738,
85,Staten Island,ROBBERY,40.60943,-74.087667,
86,Staten Island,ROBBERY,40.617789,-74.08110287,
87,Staten Island,ROBBERY,40.633478,-74.163424,
88,Staten Island,ROBBERY,40.623238,-74.149217,
89,Staten Island,ROBBERY,40.619505,-74.085952,
90,Staten Island,ROBBERY,40.63681,-74.11865,
91,Staten Island,ROBBERY,40.587909,-74.103003,
92,Staten Island,RAPE,40.64472094,-74.07703272,
93,Staten Island,ROBBERY,40.626345,-74.143613,
94,Staten Island,ROBBERY,40.641774,-74.077471,
95,Staten Island,MURDER,40.61547,-74.081663,
96,Staten Island,ROBBERY,40.609236,-74.089041,
97,Staten Island,RAPE,40.64472094,-74.07703272,
98,Staten Island,RAPE,40.64472094,-74.07703272,
99,Staten Island,ROBBERY,40.638647,-74.086121,
100,Staten Island,ROBBERY,40.578987,-74.107952,
101,Staten Island,ROBBERY,40.64479282,-74.08028167,
102,Staten Island,ROBBERY,40.583176,-74.08545,
103,Staten Island,ROBBERY,40.628788,-74.14772,
104,Staten Island,ROBBERY,40.62211,-74.084062,
105,Staten Island,ROBBERY,40.602143,-74.120618,
106,Staten Island,MURDER,40.644892,-74.088341,
107,Staten Island,RAPE,40.57428569,-74.10591441,
108,Staten Island,ROBBERY,40.575382,-74.104812,
109,Staten Island,ROBBERY,40.62246362,-74.07253516,
110,Staten Island,ROBBERY,40.588159,-74.166217,
111,Staten Island,ROBBERY,40.63778217,-74.07694038,
112,Staten Island,ROBBERY,40.61060312,-74.12158001,
113,Staten Island,ROBBERY,40.598227,-74.082759,
114,Staten Island,ROBBERY,40.628773,-74.122675,
115,Staten Island,ROBBERY,40.540923,-74.177901,
116,Staten Island,ROBBERY,40.627414,-74.076089,
117,Staten Island,MURDER,40.627807,-74.079541,
118,Staten Island,ROBBERY,40.591056,-74.088105,
119,Staten Island,ROBBERY,40.5716115,-74.09417066,
120,Staten Island,ROBBERY,40.625819,-74.078759,
121,Staten Island,ROBBERY,40.631553,-74.146779,
122,Staten Island,ROBBERY,40.626237,-74.175155,
123,Staten Island,ROBBERY,40.642915,-74.094183,
124,Staten Island,ROBBERY,40.638142,-74.075912,
125,Staten Island,ROBBERY,40.644996,-74.077263,
126,Staten Island,ROBBERY,40.621969,-74.140115,
127,Staten Island,RAPE,40.62318838,-74.14923769,
128,Staten Island,ROBBERY,40.5913352,-74.06751454,
129,Staten Island,ROBBERY,40.63460864,-74.1580637,
130,Staten Island,ROBBERY,40.644797,-74.087278,
131,Staten Island,ROBBERY,40.625114,-74.077974,
132,Staten Island,ROBBERY,40.5449,-74.161376,
133,Staten Island,MURDER,40.564004,-74.140759,
134,Staten Island,ROBBERY,40.645974,-74.078036,
135,Staten Island,RAPE,40.57428569,-74.10591441,
136,Staten Island,ROBBERY,40.617789,-74.08110287,
137,Staten Island,ROBBERY,40.624418,-74.139774,
138,Staten Island,ROBBERY,40.586252,-74.102717,
139,Staten Island,ROBBERY,40.575789,-74.127334,
140,Staten Island,RAPE,40.64472094,-74.07703272,
141,Staten Island,MURDER,40.621409,-74.080076,
142,Staten Island,ROBBERY,40.527587,-74.191658,
143,Staten Island,ROBBERY,40.55195064,-74.15063524,
144,Staten Island,ROBBERY,40.623977,-74.081548,
145,Staten Island,ROBBERY,40.616191,-74.104035,
146,Staten Island,ROBBERY,40.623796,-74.073767,
147,Staten Island,ROBBERY,40.612712,-74.103037,
148,Staten Island,ROBBERY,40.634852,-74.084938,
149,Staten Island,ROBBERY,40.638977,-74.171252,
150,Staten Island,ROBBERY,40.63602442,-74.13477006,
151,Staten Island,ROBBERY,40.623713,-74.085106,
152,Staten Island,ROBBERY,40.60376856,-74.13156825,
153,Staten Island,RAPE,40.64472094,-74.07703272,
154,Staten Island,ROBBERY,40.626237,-74.175155,
155,Staten Island,ROBBERY,40.626133,-74.157252,
156,Staten Island,RAPE,40.57428569,-74.10591441,
157,Staten Island,RAPE,40.64472094,-74.07703272,
158,Staten Island,ROBBERY,40.575308,-74.12237,
159,Staten Island,ROBBERY,40.542057,-74.177447,
160,Staten Island,ROBBERY,40.639713,-74.088073,
161,Staten Island,RAPE,40.62318838,-74.14923769,
162,Staten Island,ROBBERY,40.63673589,-74.13428148,
163,Staten Island,ROBBERY,40.614918,-74.101409,
164,Staten Island,ROBBERY,40.527884,-74.227217,
165,Staten Island,ROBBERY,40.64322,-74.075921,
166,Staten Island,ROBBERY,40.619404,-74.084672,
167,Staten Island,ROBBERY,40.562163,-74.174358,
168,Staten Island,ROBBERY,40.63965233,-74.07550486,
169,Staten Island,ROBBERY,40.582305,-74.169067,
170,Staten Island,ROBBERY,40.62156431,-74.16848285,
171,Staten Island,ROBBERY,40.611323,-74.159715,
172,Staten Island,ROBBERY,40.625819,-74.078759,
173,Staten Island,ROBBERY,40.550145,-74.17089,
174,Staten Island,ROBBERY,40.613033,-74.123317,
175,Staten Island,ROBBERY,40.611647,-74.070934,
176,Staten Island,ROBBERY,40.626237,-74.175155,
177,Staten Island,ROBBERY,40.59535,-74.086097,
178,Staten Island,ROBBERY,40.63401,-74.16626,
179,Staten Island,ROBBERY,40.636249,-74.076013,
180,Staten Island,MURDER,40.62676,-74.154365,
181,Staten Island,ROBBERY,40.63457814,-74.14583171,
182,Staten Island,ROBBERY,40.63776,-74.076476,
183,Staten Island,ROBBERY,40.635466,-74.127964,
184,Staten Island,ROBBERY,40.627141,-74.078302,
185,Staten Island,ROBBERY,40.619228,-74.069942,
186,Staten Island,ROBBERY,40.625382,-74.092682,
187,Staten Island,RAPE,40.57428569,-74.10591441,
188,Staten Island,ROBBERY,40.618583,-74.084877,
189,Staten Island,ROBBERY,40.63594,-74.089363,
190,Staten Island,ROBBERY,40.541776,-74.173318,
191,Staten Island,ROBBERY,40.636249,-74.076013,
192,Staten Island,ROBBERY,40.618806,-74.082327,
193,Staten Island,ROBBERY,40.635001,-74.169717,
194,Staten Island,ROBBERY,40.546678,-74.222482,
195,Staten Island,MURDER,40.617024,-74.123601,
196,Staten Island,ROBBERY,40.62325194,-74.08382565,
197,Staten Island,ROBBERY,40.634484,-74.118152,
198,Staten Island,ROBBERY,40.548003,-74.226121,
199,Staten Island,ROBBERY,40.635466,-74.127964,
200,Staten Island,ROBBERY,40.603782,-74.08354,
201,Staten Island,RAPE,40.64472094,-74.07703272,
202,Staten Island,RAPE,40.64472094,-74.07703272,
203,Staten Island,ROBBERY,40.59535,-74.086097,
204,Staten Island,ROBBERY,40.59861136,-74.08075909,
205,Staten Island,ROBBERY,40.567358,-74.112884,
206,Staten Island,ROBBERY,40.626851,-74.163438,
207,Staten Island,ROBBERY,40.637067,-74.076204,
208,Staten Island,MURDER,40.636323,-74.157967,
209,Staten Island,ROBBERY,40.597176,-74.085176,
210,Staten Island,ROBBERY,40.62166,-74.071903,
211,Staten Island,ROBBERY,40.62873698,-74.07447658,
212,Staten Island,MURDER,40.64015888,-74.13171207,
213,Staten Island,ROBBERY,40.50936,-74.247188,
214,Staten Island,ROBBERY,40.624707,-74.162813,
215,Staten Island,ROBBERY,40.632336,-74.146537,
216,Staten Island,ROBBERY,40.601727,-74.192701,
217,Staten Island,ROBBERY,40.540629,-74.17661,
