,OBJECTID,facname,Public Area,Public Area (supergroup),Latitude,Longitude,geometry,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
46,3778,LAGUARDIA LANDING LIGHTS,UNDEVELOPED,PARKS AND PLAZAS,40.76545112,-73.88756485,POINT (4537989.260636484 -12470291.55620971),0,17,1,18
47,3779,BAYSIDE PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.5848608,-73.82514356,POINT (4517886.038171889 -12445300.35582346),0,2,0,2
48,3780,NAKKS MALLS,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.70829553,-73.74234764,POINT (4531626.729461694 -12412296.33398777),0,20,1,21
49,3781,HORACE HARDING PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.73316797,-73.86032812,POINT (4534395.51681728 -12459375.39727041),0,43,0,43
50,3782,CAPTAIN TILLY PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.71142886,-73.79823996,POINT (4531975.530161782 -12434558.07494691),0,95,0,95
51,3783,TRIBOROUGH BRIDGE PLAYGROUND C,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.77397758,-73.92223877,POINT (4538938.421821953 -12484214.47368286),0,11,0,11
52,3784,SUNNYSIDE,PUBLIC LIBRARIES,LIBRARIES,40.74080386,-73.92166951,POINT (4535245.540203834 -12483985.65787982),0,60,0,60
53,3785,VENDITTI SQUARE PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.69995088,-73.90941576,POINT (4530697.807272847 -12479062.13678129),0,56,0,56
54,3786,REIFF PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.71884682,-73.90193519,POINT (4532801.293691707 -12476058.2596575),0,16,1,17
55,3787,MIDDLEBURGH TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.74132213,-73.87505475,POINT (4535303.233756328 -12465275.42750543),30,115,0,145
56,3788,CHALLENGE PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.75662296,-73.72796351,POINT (4537006.514360643 -12406579.2279445),0,3,0,3
57,3789,FRESH MEADOWS PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.74071421,-73.78538032,POINT (4535235.560411485 -12429429.50753159),0,8,0,8
58,3790,TRAVIS TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.7668345,-73.81309867,POINT (4538143.257793657 -12440488.82920485),0,11,0,11
59,3791,FARM PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.73654267,-73.77789408,POINT (4534771.186702861 -12426445.7343546),0,6,0,6
60,3792,WOODSIDE HOUSES PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.7557708,-73.91159716,POINT (4536911.652343368 -12479938.34981313),0,68,4,72
61,3793,SHORT TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.74608575,-73.9454001,POINT (4535833.51750906 -12493530.93706078),0,53,0,53
62,3794,BELLEROSE,PUBLIC LIBRARIES,LIBRARIES,40.73515845,-73.71709652,POINT (4534617.096037315 -12402263.30162099),0,2,0,2
