OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude,geometry,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
738,CAUSA FESTIVAL GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.66844518,-73.88937091,POINT (4527190.608791761 -12471016.03860361),0,116,3,119
744,HUMBOLDT PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.70356518,-73.94091019,POINT (4531100.149308421 -12491723.88386999),0,121,4,125
749,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.62090007,-74.02285558,POINT (4521897.911356851 -12524782.1424872),0,11,1,12
766,KNICKERBOCKER PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.69889142,-73.91870018,POINT (4530579.868725131 -12482792.25443676),16,149,1,166
776,HIGHLAND PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.68285326,-73.88782943,POINT (4528794.50892067 -12470397.68481301),0,52,2,54
779,CLASSON TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.69922102,-73.96108141,POINT (4530616.559629296 -12499846.05360611),9,38,2,49
821,NEW VISION GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.66609171,-73.88707832,POINT (4526928.621709764 -12470096.40322099),0,105,4,109
927,PARK SLOPE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.66821397,-73.9834246,POINT (4527164.870612294 -12508854.41053773),0,28,0,28
1062,CENTER FOR BROOKLYN HISTORY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.69479137,-73.99241182,POINT (4530123.453246904 -12512481.3413876),0,43,0,43
1070,HUMAN COMPASS GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.68489959,-74.00250016,POINT (4529022.305334264 -12516555.00925725),4,16,0,20
1078,ADAM YAUCH PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.69234057,-73.99923554,POINT (4529850.631438867 -12515236.48320303),4,13,0,17
1121,FIDELITY TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.72186473,-73.94185749,POINT (4533137.245896167 -12492105.10256445),0,40,0,40
1131,EVERGREEN PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.68665035,-73.91021437,POINT (4529217.199045966 -12479382.9047352),0,88,3,91
1137,GILBERT RAMIREZ PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.70584654,-73.93462371,POINT (4531354.109141937 -12489194.59189704),0,63,1,64
1164,THOMAS J. CUITE PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.65423605,-73.97865638,POINT (4525608.855675546 -12506930.9266245),0,12,0,12
1187,THOMAS GREENE PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.68031719,-73.98535192,POINT (4528512.194899653 -12509632.04320023),0,95,1,96
1222,VICTORY GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.66657821,-73.88754596,POINT (4526982.778642034 -12470283.97909825),0,104,4,108
1250,BATH BEACH PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.60244652,-74.01110088,POINT (4519843.671567523 -12520029.95287014),0,6,0,6
1255,BRIDGE PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.70076462,-73.98547019,POINT (4530788.392395285 -12509679.7655997),5,93,0,98
1257,ST JOHN CANTIUS PARISH,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.6674664,-73.89400971,POINT (4527081.651500563 -12472877.20791227),0,130,6,136
1265,TRIANGLE THREE SIXTEEN,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.6673271,-73.99503053,POINT (4527066.144695495 -12513538.53517552),0,19,0,19
1285,BANNEKER PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.69068207,-73.9487922,POINT (4529666.008063387 -12494896.48121697),16,87,4,107
