OBJECTID,Complaint ID,Offense,Latitude,Longitude,geometry
68,263993697,ROBBERY,40.60262,-74.093645,POINT (4519862.983272785 -12553473.09405661)
69,264102912,ROBBERY,40.576915,-74.118241,POINT (4517001.515761944 -12563470.97665069)
70,264185284,ROBBERY,40.643729,-74.072798,POINT (4524439.216219806 -12545010.90540528)
71,264213726,ROBBERY,40.579862,-74.109586,POINT (4517329.574301312 -12559951.13784808)
72,264243990,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
73,264404227,ROBBERY,40.645434,-74.080804,POINT (4524629.015951608 -12548259.41422948)
74,264494739,ROBBERY,40.621203,-74.083249,POINT (4521931.633370197 -12549251.81290966)
75,264561958,ROBBERY,40.60306909,-74.14046189,POINT (4519912.975742905 -12572516.39367915)
76,264641039,ROBBERY,40.638977,-74.171252,POINT (4523910.225999556 -12585070.49819052)
77,269877079H1,MURDER & NON-NEGL. MANSLAUGHTER,40.558371,-74.197171,POINT (4514937.207124674 -12595656.95703352)
78,264906378,ROBBERY,40.647682,-74.082631,POINT (4524879.262166913 -12549000.95946543)
79,264800921,ROBBERY,40.63776,-74.076476,POINT (4523774.750179261 -12546503.09048331)
80,265348356,RAPE,40.57428569,-74.10591441,POINT (4516708.822311606 -12558458.52988893)
81,265128292,RAPE,40.62318838,-74.14923769,POINT (4522152.644860828 -12576092.14427231)
82,265175832,ROBBERY,40.630831,-74.15648,POINT (4523003.417427555 -12579044.51857476)
83,265279100,ROBBERY,40.616946,-74.082242,POINT (4521457.746297889 -12548843.06467102)
84,265170630,ROBBERY,40.611389,-74.072738,POINT (4520839.143887552 -12544986.56585385)
85,265235283,ROBBERY,40.60943,-74.087667,POINT (4520621.069005088 -12551045.40731139)
86,265274236,ROBBERY,40.617789,-74.08110287,POINT (4521551.588628629 -12548380.71431826)
87,265290581,ROBBERY,40.633478,-74.163424,POINT (4523298.080119683 -12581876.52001263)
88,265291275,ROBBERY,40.623238,-74.149217,POINT (4522158.168533961 -12576083.71174357)
89,265293291,ROBBERY,40.619505,-74.085952,POINT (4521742.612874829 -12550349.10380892)
90,265348484,ROBBERY,40.63681,-74.11865,POINT (4523668.996663007 -12563637.35611541)
91,265381980,ROBBERY,40.587909,-74.103003,POINT (4518225.362243726 -12557275.19594241)
92,265403958,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
93,265452569,ROBBERY,40.626345,-74.143613,POINT (4522504.038191856 -12573800.10983241)
94,265489089,ROBBERY,40.641774,-74.077471,POINT (4524221.586615305 -12546906.82522276)
95,265673021H1,MURDER & NON-NEGL. MANSLAUGHTER,40.61547,-74.081663,POINT (4521293.438729479 -12548608.05598692)
96,265667019,ROBBERY,40.609236,-74.089041,POINT (4520599.473023875 -12551603.31487889)
97,265744196,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
98,265741763,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
99,265739622,ROBBERY,40.638647,-74.086121,POINT (4523873.490567594 -12550417.71589266)
100,265739627,ROBBERY,40.578987,-74.107952,POINT (4517232.169746867 -12559286.82790969)
101,265775989,ROBBERY,40.64479282,-74.08028167,POINT (4524557.640120502 -12548047.4254602)
