,0,geometry,Latitude,Longitude,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,Total Crimes
42,POINT (40.57766842415725 -74.16076805774901),POINT (4517085.38655548 -12580793.19277653),40.577668424157245,-74.16076805774901,0,0,0,0
43,POINT (40.55574864046179 -74.16527822255595),POINT (4514645.287396204 -12582632.94027174),40.55574864046179,-74.16527822255595,0,0,0,0
44,POINT (40.558763776604 -74.15243044876433),POINT (4514980.930816227 -12577393.53090729),40.558763776604,-74.15243044876433,3,0,0,3
45,POINT (40.56482675246129 -74.11374721231121),POINT (4515655.858201353 -12561643.19773501),40.56482675246129,-74.11374721231121,2,0,0,2
46,POINT (40.54959314245045 -74.17726575049305),POINT (4513960.060492002 -12587525.27242864),40.54959314245045,-74.17726575049305,3,0,0,3
47,POINT (40.61583167028358 -74.13678656500518),POINT (4521333.699681281 -12571019.43392649),40.615831670283576,-74.13678656500518,4,0,0,4
48,POINT (40.52796814625853 -74.21936625770186),POINT (4511552.776927511 -12604735.9334457),40.52796814625853,-74.21936625770186,2,0,0,2
49,POINT (40.62061204932859 -74.09841787396569),POINT (4521865.849042372 -12555412.01309377),40.62061204932859,-74.09841787396569,5,1,0,6
50,POINT (40.59227902164093 -74.06903867220313),POINT (4518711.830827549 -12543486.07202431),40.59227902164093,-74.06903867220313,5,0,0,5
51,POINT (40.6216909130186 -74.17139424902987),POINT (4521985.947598979 -12585128.55283405),40.621690913018604,-74.17139424902987,2,0,0,2
52,POINT (40.52839982523638 -74.18259691314866),POINT (4511600.831211511 -12589702.17903968),40.52839982523638,-74.18259691314866,0,0,0,0
53,POINT (40.60207604910699 -74.15167135007921),POINT (4519802.430936359 -12577084.09481777),40.60207604910699,-74.15167135007921,0,0,0,0
54,POINT (40.54761165155713 -74.16912119812667),POINT (4513739.481934746 -12584200.93662551),40.54761165155713,-74.16912119812667,1,0,0,1
55,POINT (40.57480572542748 -74.12817226851001),POINT (4516766.712390589 -12567512.15500666),40.57480572542748,-74.12817226851001,1,0,0,1
56,POINT (40.50846016995702 -74.23870507734114),POINT (4509381.15893922 -12612656.63435519),40.50846016995702,-74.23870507734114,0,0,0,0
57,POINT (40.60528107865059 -74.16795906791722),POINT (4520159.21319313 -12583726.72953615),40.60528107865059,-74.16795906791722,0,0,0,0
58,POINT (40.52363841558829 -74.2438533289309),POINT (4511070.793514028 -12614766.82696262),40.523638415588294,-74.2438533289309,0,0,0,0
59,POINT (40.57101096427348 -74.13147109744423),POINT (4516344.281511243 -12568855.04181836),40.57101096427348,-74.13147109744423,0,0,0,0
60,POINT (40.59189707349874 -74.19348172490663),POINT (4518669.31255485 -12594149.06257503),40.591897073498735,-74.19348172490663,1,0,0,1
61,POINT (40.59277626599783 -74.15699219942931),POINT (4518767.183816159 -12579253.36975598),40.59277626599783,-74.15699219942931,1,0,0,1
62,POINT (40.60308283275073 -74.10165162972422),POINT (4519914.505578919 -12556726.0072489),40.60308283275073,-74.10165162972422,3,0,0,3
63,POINT (40.51991531747602 -74.22787593023611),POINT (4510656.340127997 -12608220.11809306),40.51991531747602,-74.22787593023611,1,0,0,1
64,POINT (40.63452286659967 -74.10057034280248),POINT (4523414.394137507 -12556286.61154522),40.634522866599674,-74.10057034280248,3,1,0,4
65,POINT (40.58753602367836 -74.17622559910838),POINT (4518183.842709523 -12587100.6243118),40.58753602367836,-74.17622559910838,0,0,0,0
66,POINT (40.54659710036403 -74.18188413278305),POINT (4513626.542612547 -12589411.08362343),40.54659710036403,-74.18188413278305,0,0,0,0
67,POINT (40.63652014601109 -74.18168996338332),POINT (4523636.730264558 -12589331.78816866),40.636520146011094,-74.18168996338332,0,0,0,0
68,POINT (40.53438964445843 -74.2173583290337),POINT (4512267.614837253 -12603914.07783915),40.53438964445843,-74.2173583290337,3,0,0,3
69,POINT (40.62074418795891 -74.13033425517297),POINT (4521880.558647413 -12568392.22551594),40.62074418795891,-74.13033425517297,1,0,0,1
70,POINT (40.61853390357007 -74.11432605514489),POINT (4521634.510914739 -12561878.60487569),40.618533903570075,-74.11432605514489,3,0,0,3
71,POINT (40.63999505697341 -74.07839124462701),POINT (4524023.555583435 -12547280.24883297),40.63999505697341,-74.07839124462701,52,1,15,68
72,POINT (40.58652758385852 -74.12178231371941),POINT (4518071.583702282 -12564911.70647307),40.58652758385852,-74.12178231371941,1,0,0,1
73,POINT (40.62782736351472 -74.18501534806715),POINT (4522669.054143485 -12590689.94927288),40.62782736351472,-74.18501534806715,0,0,0,0
74,POINT (40.56870591035366 -74.20203947335906),POINT (4516087.684082637 -12597647.3430051),40.56870591035366,-74.20203947335906,0,0,0,0
75,POINT (40.60669526751796 -74.11896762312514),POINT (4520316.639977731 -12563766.56673489),40.606695267517956,-74.11896762312514,8,0,0,8
76,POINT (40.5837156757454 -74.095093323944),POINT (4517758.563522972 -12554061.39723953),40.5837156757454,-74.095093323944,2,0,0,2
77,POINT (40.62175474224119 -74.09201424148117),POINT (4521993.053035536 -12552810.74915964),40.621754742241194,-74.09201424148117,2,0,0,2
78,POINT (40.55315856047061 -74.13581552041734),POINT (4514356.961010472 -12570623.98393183),40.553158560470614,-74.13581552041734,0,0,0,0
79,POINT (40.54771953295149 -74.21356977032241),POINT (4513751.491236632 -12602363.67861192),40.54771953295149,-74.21356977032241,0,0,0,0
80,POINT (40.58643304714289 -74.14300013596585),POINT (4518061.059923237 -12573550.41851396),40.58643304714289,-74.14300013596585,0,0,0,0
81,POINT (40.60790280455431 -74.18548018215442),POINT (4520451.062385731 -12590879.82002642),40.607902804554314,-74.18548018215442,1,0,0,1
82,POINT (40.59482026778917 -74.19344628955344),POINT (4518994.721054752 -12594134.58096657),40.594820267789174,-74.19344628955344,1,0,0,1
83,POINT (40.62392595042014 -74.09540477654492),POINT (4522234.750824423 -12554187.91481317),40.623925950420144,-74.09540477654492,5,0,0,5
84,POINT (40.55454452622841 -74.15887303736442),POINT (4514511.246012887 -12580020.34470922),40.55454452622841,-74.15887303736442,3,0,0,3
85,POINT (40.60941909713648 -74.12125432011162),POINT (4520619.855303872 -12564696.88041798),40.60941909713648,-74.12125432011162,10,1,0,11
86,POINT (40.62085319749393 -74.15199602811617),POINT (4521892.693533342 -12577216.44356555),40.62085319749393,-74.15199602811617,6,1,10,17
87,POINT (40.61337881741584 -74.12247377214348),POINT (4521060.649349054 -12565193.05238473),40.613378817415835,-74.12247377214348,11,1,0,12
88,POINT (40.63538963430047 -74.08487627445179),POINT (4523510.882276595 -12549912.38807119),40.635389634300466,-74.08487627445179,20,0,0,20
89,POINT (40.59381221889106 -74.15046481648625),POINT (4518882.505564719 -12576592.29778782),40.59381221889106,-74.15046481648625,0,0,0,0
90,POINT (40.58736544978692 -74.08747582529143),POINT (4518164.854510784 -12550967.7852542),40.587365449786915,-74.08747582529143,6,0,0,6
91,POINT (40.51298294174057 -74.21463273458001),POINT (4509884.631591139 -12602798.64093565),40.512982941740574,-74.21463273458001,3,0,0,3
92,POINT (40.57580070442748 -74.10547662952555),POINT (4516877.472946218 -12558280.58182702),40.57580070442748,-74.10547662952555,5,0,7,12
93,POINT (40.61598816699814 -74.13346904410527),POINT (4521351.120815857 -12569668.49791765),40.615988166998136,-74.13346904410527,4,0,0,4
94,POINT (40.6242704596991 -74.09112927751072),POINT (4522273.10142193 -12552451.34204118),40.624270459699105,-74.09112927751072,3,0,0,3
95,POINT (40.64010831469341 -74.08389195960821),POINT (4524036.163375154 -12549512.80782224),40.64010831469341,-74.08389195960821,26,0,0,26
96,POINT (40.52965352963101 -74.16480765953125),POINT (4511740.392946327 -12582440.96840906),40.52965352963101,-74.16480765953125,1,0,0,1
97,POINT (40.55062251058078 -74.20358195316417),POINT (4514074.649228109 -12598278.08225741),40.55062251058078,-74.20358195316417,1,0,0,1
98,POINT (40.62745330112673 -74.1731098166578),POINT (4522627.413708929 -12585828.74996718),40.62745330112673,-74.1731098166578,7,1,0,8
99,POINT (40.60826445067599 -74.16067278786251),POINT (4520491.320647844 -12580754.33661216),40.60826445067599,-74.16067278786251,1,0,0,1
