OBJECTID,Offense,BORO_NM,Latitude,Longitude,geometry
481527,ROBBERY,BROOKLYN,40.67134101,-73.89958542,POINT (4527512.971112785 -12475114.97294847)
481660,ROBBERY,BROOKLYN,40.679015,-73.884433,POINT (4528367.235771937 -12469035.43417859)
481683,ROBBERY,BROOKLYN,40.660583,-73.883505,POINT (4526315.394917636 -12468663.27768706)
481739,ROBBERY,BROOKLYN,40.675604,-73.870534,POINT (4527987.524988841 -12463463.69083964)
481773,ROBBERY,BROOKLYN,40.678894,-73.865724,POINT (4528353.766113551 -12461536.57696456)
482231,ROBBERY,BROOKLYN,40.64713186,-74.00462341,POINT (4524818.020862247 -12517412.69547847)
482249,ROBBERY,BROOKLYN,40.63786,-74.008889,POINT (4523785.88212834 -12519136.11450158)
482406,ROBBERY,BROOKLYN,40.64381239,-73.98397561,POINT (4524448.499152143 -12509076.72206084)
482415,ROBBERY,BROOKLYN,40.70235306,-73.9847045,POINT (4530965.216727241 -12509370.81282389)
482501,ROBBERY,BROOKLYN,40.6427961,-73.97944283,POINT (4524335.366266845 -12507248.13951617)
482534,ROBBERY,BROOKLYN,40.579976,-73.969683,POINT (4517342.264723263 -12503312.60652405)
482542,ROBBERY,BROOKLYN,40.585901,-73.96276,POINT (4518001.832706213 -12500522.40507081)
482602,ROBBERY,BROOKLYN,40.71039,-73.964683,POINT (4531859.884795576 -12501297.32097413)
482708,ROBBERY,BROOKLYN,40.660207,-73.949122,POINT (4526273.538789097 -12495029.26247396)
482714,ROBBERY,BROOKLYN,40.59996,-73.94615,POINT (4519566.873427276 -12493832.79712068)
482778,ROBBERY,BROOKLYN,40.692521,-73.941389,POINT (4529870.716814592 -12491916.56700165)
483008,ROBBERY,BROOKLYN,40.649278,-73.916704,POINT (4525056.928074218 -12481990.09030495)
483016,ROBBERY,BROOKLYN,40.61913,-73.917218,POINT (4521700.868065782 -12482196.63173205)
483037,ROBBERY,BROOKLYN,40.689386,-73.909869,POINT (4529521.730210954 -12479244.18227076)
483040,ROBBERY,BROOKLYN,40.661992,-73.91268707,POINT (4526472.244080164 -12480376.18233959)
483045,ROBBERY,BROOKLYN,40.67116,-73.909687,POINT (4527492.821171757 -12479171.08071096)
483107,ROBBERY,BROOKLYN,40.67711101,-73.903355,POINT (4528155.284574661 -12476628.2901564)
483200,ROBBERY,BROOKLYN,40.673082,-73.896678,POINT (4527706.777233061 -12473948.00989249)
